Title;Year;imdbVotes;imdbID
The Shawshank Redemption;1994;1,825,626;tt0111161
The Godfather;1972;1,243,444;tt0068646
The Godfather: Part II;1974;856,87;tt0071562
The Dark Knight;2008;1,802,351;tt0468569
12 Angry Men;1957;494,215;tt0050083
Schindler's List;1993;937,837;tt0108052
The Lord of the Rings: The Return of the King;2003;1,304,569;tt0167260
Pulp Fiction;1994;1,427,451;tt0110912
Fight Club;1999;1,458,676;tt0137523
The Lord of the Rings: The Fellowship of the Ring;2001;1,326,876;tt0120737
Forrest Gump;1994;1,365,937;tt0109830
Star Wars: Episode V - The Empire Strikes Back;1980;910,608;tt0080684
Inception;2010;1,592,306;tt1375666
The Lord of the Rings: The Two Towers;2002;1,188,300;tt0167261
One Flew Over the Cuckoo's Nest;1975;729,653;tt0073486
Goodfellas;1990;787,997;tt0099685
The Matrix;1999;1,314,628;tt0133093
Star Wars: Episode IV - A New Hope;1977;982,688;tt0076759
Se7en;1995;1,108,627;tt0114369
It's a Wonderful Life;1946;301,614;tt0038650
The Silence of the Lambs;1991;967,878;tt0102926
The Usual Suspects;1995;797,545;tt0114814
Léon: The Professional;1994;787,281;tt0110413
Saving Private Ryan;1998;960,639;tt0120815
City Lights;1931;119,453;tt0021749
Interstellar;2014;1,057,411;tt0816692
American History X;1998;843,128;tt0120586
Modern Times;1936;158,254;tt0027977
Casablanca;1942;415,4;tt0034583
The Green Mile;1999;857,527;tt0120689
Psycho;1960;458,316;tt0054215
Raiders of the Lost Ark;1981;709,587;tt0082971
The Pianist;2002;547,383;tt0253474
Rear Window;1954;342,023;tt0047396
The Departed;2006;943,314;tt0407887
Whiplash;2014;485,079;tt2582802
Terminator 2: Judgment Day;1991;798,971;tt0103064
Back to the Future;1985;798,211;tt0088763
Gladiator;2000;1,059,523;tt0172495
The Lion King;1994;707,806;tt0110357
The Prestige;2006;922,672;tt0482571
Apocalypse Now;1979;481,465;tt0078788
Memento;2000;909,341;tt0209144
The Great Dictator;1940;151,705;tt0032553
Sunset Boulevard;1950;151,983;tt0043014
Alien;1979;618,222;tt0078748
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;367,328;tt0057012
Paths of Glory;1957;132,224;tt0050825
Django Unchained;2012;1,047,465;tt1853728
The Shining;1980;664,418;tt0081505
Witness for the Prosecution;1957;70,915;tt0051201
The Dark Knight Rises;2012;1,228,378;tt1345836
WALL·E;2008;782,275;tt0910970
American Beauty;1999;881,549;tt0169547
Once Upon a Time in America;1984;239,391;tt0087843
Aliens;1986;529,034;tt0090605
Citizen Kane;1941;318,781;tt0033467
North by Northwest;1959;235,871;tt0053125
Vertigo;1958;272,5;tt0052357
Star Wars: Episode VI - Return of the Jedi;1983;747,275;tt0086190
Braveheart;1995;793,897;tt0112573
Reservoir Dogs;1992;721,998;tt0105236
Double Indemnity;1944;106,914;tt0036775
Requiem for a Dream;2000;618,232;tt0180093
Lawrence of Arabia;1962;207,765;tt0056172
The Kid;1921;76,513;tt0012349
A Clockwork Orange;1971;601,251;tt0066921
Amadeus;1984;293,394;tt0086879
To Kill a Mockingbird;1962;234,351;tt0056592
Eternal Sunshine of the Spotless Mind;2004;720,117;tt0338013
Singin' in the Rain;1952;166,166;tt0045152
Taxi Driver;1976;549,211;tt0075314
The Sting;1973;190,154;tt0070735
Toy Story 3;2010;589,975;tt0435761
2001: A Space Odyssey;1968;462,767;tt0062622
Full Metal Jacket;1987;527,053;tt0093058
Baby Driver;2017;2,872;tt3890160
Toy Story;1995;680,986;tt0114709
Inglourious Basterds;2009;969,927;tt0361748
Snatch;2000;643,205;tt0208092
The Apartment;1960;119,156;tt0053604
All About Eve;1950;89,89;tt0042192
Monty Python and the Holy Grail;1975;408,671;tt0071853
Scarface;1983;580,09;tt0086250
L.A. Confidential;1997;441,642;tt0119488
Good Will Hunting;1997;659,342;tt0119217
The Treasure of the Sierra Madre;1948;85,244;tt0040897
Indiana Jones and the Last Crusade;1989;555,173;tt0097576
Some Like It Hot;1959;189,098;tt0053291
Batman Begins;2005;1,053,569;tt0372784
Up;2009;727,405;tt1049413
The Third Man;1949;122,343;tt0041959
Unforgiven;1992;298,035;tt0105695
Judgment at Nuremberg;1961;49,303;tt0055031
Raging Bull;1980;251,296;tt0081398
The Great Escape;1963;177,901;tt0057115
Heat;1995;461,331;tt0113277
Die Hard;1988;636,557;tt0095016
The Gold Rush;1925;73,848;tt0015864
Chinatown;1974;232,188;tt0071315
On the Waterfront;1954;109,591;tt0047296
Mr. Smith Goes to Washington;1939;83,328;tt0031679
The General;1926;58,327;tt0017925
Inside Out;2015;421,211;tt2096673
The Bridge on the River Kwai;1957;161,564;tt0050212
Room;2015;226,372;tt3170832
La La Land;2016;272,059;tt3783958
Logan;2017;316,354;tt3315342
Blade Runner;1982;499,344;tt0083658
Lock, Stock and Two Smoking Barrels;1998;442,704;tt0120735
Casino;1995;360,941;tt0112641
A Beautiful Mind;2001;667,901;tt0268978
The Elephant Man;1980;174,583;tt0080678
Warrior;2011;358,261;tt1291584
V for Vendetta;2005;849,623;tt0434409
The Wolf of Wall Street;2013;874,371;tt0993846
Dial M for Murder;1954;116,207;tt0046912
Hacksaw Ridge;2016;221,901;tt2119532
Gone with the Wind;1939;230,951;tt0031381
The Message;1976;36,301;tt0074896
Rebecca;1940;94,586;tt0032976
Trainspotting;1996;517,568;tt0117951
The Deer Hunter;1978;249,067;tt0077416
Cool Hand Luke;1967;128,345;tt0061512
Gran Torino;2008;598,907;tt1205489
The Big Lebowski;1998;580,796;tt0118715
The Thing;1982;281,843;tt0084787
It Happened One Night;1934;70,807;tt0025316
Fargo;1996;490,86;tt0116282
The Sixth Sense;1999;754,842;tt0167404
Finding Nemo;2003;756,517;tt0266543
Mary and Max;2009;129,873;tt0978762
No Country for Old Men;2007;666,081;tt0477348
How to Train Your Dragon;2010;528,657;tt0892769
There Will Be Blood;2007;402,281;tt0469494
Into the Wild;2007;461,312;tt0758758
Kill Bill: Vol. 1;2003;791,579;tt0266697
Gone Girl;2014;640,332;tt2267998
Life of Brian;1979;291,865;tt0079470
Network;1976;111,892;tt0074958
Shutter Island;2010;862,078;tt1130884
In the Name of the Father;1993;119,905;tt0107207
Rush;2013;341,336;tt1979320
Hotel Rwanda;2004;282,079;tt0395169
Platoon;1986;311,879;tt0091763
Song of the Sea;2014;33,478;tt1865505
Ben-Hur;1959;175,529;tt0052618
Stand by Me;1986;292,157;tt0092005
Hachi: A Dog's Tale;2009;179,414;tt1028532
Kind Hearts and Coronets;1949;29,245;tt0041546
The Maltese Falcon;1941;122,177;tt0033870
Butch Cassidy and the Sundance Kid;1969;163,664;tt0064115
The Legend of 1900;1998;44,192;tt0120731
Spotlight;2015;274,216;tt1895587
Brief Encounter;1945;28,038;tt0037558
The Best Years of Our Lives;1946;43,479;tt0036868
The Grapes of Wrath;1940;68,128;tt0032551
12 Years a Slave;2013;490,387;tt2024544
The Grand Budapest Hotel;2014;537,323;tt2278388
Mad Max: Fury Road;2015;638,51;tt1392190
The Princess Bride;1987;314,262;tt0093779
What Ever Happened to Baby Jane?;1962;37,689;tt0056687
Million Dollar Baby;2004;519,405;tt0405159
Jurassic Park;1993;670,652;tt0107290
Touch of Evil;1958;78,182;tt0052311
Spider-Man: Homecoming;2017;64,044;tt2250912
Before Sunrise;1995;202,165;tt0112471
The Truman Show;1998;724,665;tt0120382
Harry Potter and the Deathly Hallows: Part 2;2011;594,362;tt1201607
Star Wars: The Force Awakens;2015;665,521;tt2488496
Paris, Texas;1984;55,529;tt0087884
The Last Picture Show;1971;33,568;tt0067328
Gandhi;1982;184,127;tt0083987
Barry Lyndon;1975;110,576;tt0072684
Rocky;1976;407,892;tt0075148
Annie Hall;1977;208,523;tt0075686
Prisoners;2013;436,571;tt1392214
Donnie Darko;2001;622,498;tt0246578
Catch Me If You Can;2002;592,039;tt0264464
The Man Who Shot Liberty Valance;1962;56,56;tt0056217
Laura;1944;33,877;tt0037008
Monsters, Inc.;2001;639,101;tt0198781
The Bourne Ultimatum;2007;527,907;tt0440963
Cat on a Hot Tin Roof;1958;36,009;tt0051459
The Wizard of Oz;1939;311,697;tt0032138
Sleuth;1972;38,576;tt0069281
Roman Holiday;1953;107,872;tt0046250
Out of the Past;1947;24,842;tt0039689
Anatomy of a Murder;1959;48,842;tt0052561
Who's Afraid of Virginia Woolf?;1966;58,96;tt0061184
The Terminator;1984;646,546;tt0088247
Groundhog Day;1993;474,776;tt0107048
The Help;2011;344,326;tt1454029
Strangers on a Train;1951;103,963;tt0044079
The Night of the Hunter;1955;68,366;tt0048424
All Quiet on the Western Front;1930;49,038;tt0020629
Beauty and the Beast;1991;336,43;tt0101414
Lion;2016;113,296;tt3741834
Twelve Monkeys;1995;492,644;tt0114746
Guardians of the Galaxy;2014;768,444;tt2015381
Dog Day Afternoon;1975;194,97;tt0072890
Jaws;1975;445,407;tt0073195
Zootopia;2016;304,299;tt2948356
Guardians of the Galaxy Vol. 2;2017;175,272;tt3896198
Pirates of the Caribbean: The Curse of the Black Pearl;2003;869,71;tt0325980
Before Sunset;2004;179,65;tt0381681
The Imitation Game;2014;535,118;tt2084970
Young Frankenstein;1974;121,147;tt0072431
Stalag 17;1953;44,802;tt0046359
Dogville;2003;113,851;tt0276919
Dead Poets Society;1989;295,852;tt0097165
High Noon;1952;83,393;tt0044706
Papillon;1973;101,553;tt0070511
A Streetcar Named Desire;1951;82,622;tt0044081
Arsenic and Old Lace;1944;56,783;tt0036613
Sin City;2005;685,825;tt0401792
The Hustler;1961;65,649;tt0054997
A Night at the Opera;1935;26,025;tt0026778
The Killing;1956;65,94;tt0049406
The Avengers;2012;1,051,143;tt0848228
Notorious;1946;77,339;tt0038787
Harvey;1950;46,446;tt0042546
The Martian;2015;560,864;tt3659388
The Exorcist;1973;299,364;tt0070047
Rio Bravo;1959;45,629;tt0053221
The Philadelphia Story;1940;52,602;tt0032904
Rope;1948;102,34;tt0040746
The Big Sleep;1946;67,315;tt0038355
Pink Floyd: The Wall;1982;63,19;tt0084503
The King's Speech;2010;537,662;tt1504320
A Christmas Story;1983;110,893;tt0085334
The Graduate;1967;220,459;tt0061722
JFK;1991;120,061;tt0102138
Sling Blade;1996;75,931;tt0117666
Blood Diamond;2006;424,781;tt0450259
Magnolia;1999;251,286;tt0175880
Rain Man;1988;403,104;tt0095953
The Revenant;2015;504,647;tt1663202
The Nightmare Before Christmas;1993;238,561;tt0107688
The Manchurian Candidate;1962;63,422;tt0056218
Deadpool;2016;644,281;tt1431045
The Wild Bunch;1969;65,987;tt0065214
Aladdin;1992;281,651;tt0103639
Big Fish;2003;364,938;tt0319061
Patton;1970;80,73;tt0066206
The Lost Weekend;1945;26,834;tt0037884
Short Term 12;2013;62,348;tt2370248
His Girl Friday;1940;43,551;tt0032599
The Straight Story;1999;67,045;tt0166896
Slumdog Millionaire;2008;679,975;tt1010048
